Name,Education,Skill,Certification,Job Role,Education_std,Degree,Branch
Person_113,BTech Mechanical,Manufacturing,SolidWorks Certification,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_114,BSc Physics,Research,Data Science Certification,Data Analyst,BSc Physics,BSc,Physics
Person_115,BSc Chemistry,Lab Techniques,Analytical Chemistry Certification,Chemist,BSc Chemistry,BSc,Chemistry
Person_116,BTech Civil,STAAD Pro,Civil 3D Certification,Structural Engineer,BTech Civil,BTech,Civil
Person_117,BSc Statistics,Python,,Business Analyst,BSc Statistics,BSc,Statistics
Person_118,BSc Physics,Research,Research Methodology,Lab Assistant,BSc Physics,BSc,Physics
Person_119,BTech CSE,Java,AWS Certified Developer,Software Engineer,BTech Cse,BTech,Cse
Person_120,BSc Chemistry,,Lab Safety Certification,Research Scientist,BSc Chemistry,BSc,Chemistry
Person_121,BCA,HTML,,System Analyst,Bca,Bca,
Person_122,BTech EE,Circuit Design,Certified Electrician,Electrical Engineer,BTech Ee,BTech,Ee
Person_123,BTech ECE,VHDL,CCNA,VLSI Engineer,BTech Ece,BTech,Ece
Person_124,BTech EE,Circuit Design,Power Systems Certification,Power Engineer,BTech Ee,BTech,Ee
Person_125,BTech Civil,AutoCAD,,Site Engineer,BTech Civil,BTech,Civil
Person_126,BTech EE,Control Systems,Power Systems Certification,Control Engineer,BTech Ee,BTech,Ee
Person_127,BSc Physics,,Research Methodology,Data Analyst,BSc Physics,BSc,Physics
Person_128,BTech ECE,Signal Processing,CCNA,VLSI Engineer,BTech Ece,BTech,Ece
Person_129,BSc Chemistry,Research,Lab Safety Certification,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_130,BSc Statistics,Python,,Data Analyst,BSc Statistics,BSc,Statistics
Person_131,BTech CSE,SQL,AWS Certified Developer,Data Scientist,BTech Cse,BTech,Cse
Person_132,BTech ECE,Embedded Systems,Embedded Systems Certification,Electronics Engineer,BTech Ece,BTech,Ece
Person_133,BCA,CSS,Full Stack Web Certification,Software Developer,Bca,Bca,
Person_134,BSc Physics,MATLAB,Research Methodology,Data Analyst,BSc Physics,BSc,Physics
Person_135,BTech CSE,Python,,Software Engineer,BTech Cse,BTech,Cse
Person_136,BCA,CSS,Full Stack Web Certification,System Analyst,Bca,Bca,
Person_137,BTech CSE,Python,AWS Certified Developer,Data Scientist,BTech Cse,BTech,Cse
Person_138,BTech EE,Circuit Design,,Control Engineer,BTech Ee,BTech,Ee
Person_139,BSc Mathematics,Problem Solving,,Mathematician,BSc Mathematics,BSc,Mathematics
Person_140,BTech EE,Circuit Design,Certified Electrician,Electrical Engineer,BTech Ee,BTech,Ee
Person_141,BTech Mechanical,Thermodynamics,HVAC Design Certification,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_142,BSc Statistics,R,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_143,BSc Statistics,Python,Data Analyst Certification,Business Analyst,BSc Statistics,BSc,Statistics
Person_144,BSc Statistics,Python,Data Analyst Certification,Business Analyst,BSc Statistics,BSc,Statistics
Person_145,BSc Statistics,Data Analysis,,Data Analyst,BSc Statistics,BSc,Statistics
Person_146,BSc Mathematics,Data Analysis,Data Analyst Certification,Mathematician,BSc Mathematics,BSc,Mathematics
Person_147,BTech CSE,SQL,AWS Certified Developer,Data Scientist,BTech Cse,BTech,Cse
Person_148,BTech EE,Power Systems,,Electrical Engineer,BTech Ee,BTech,Ee
Person_149,BTech Mechanical,Manufacturing,HVAC Design Certification,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_150,BTech ECE,Embedded Systems,Embedded Systems Certification,VLSI Engineer,BTech Ece,BTech,Ece
Person_151,BCA,CSS,,Web Developer,Bca,Bca,
Person_152,BTech Civil,AutoCAD,Autodesk Certified Professional,Site Engineer,BTech Civil,BTech,Civil
Person_153,BSc Chemistry,Lab Techniques,Lab Safety Certification,Chemist,BSc Chemistry,BSc,Chemistry
Person_154,BSc Physics,Research,Research Methodology,Lab Assistant,BSc Physics,BSc,Physics
Person_155,BTech Civil,AutoCAD,Autodesk Certified Professional,Civil Engineer,BTech Civil,BTech,Civil
Person_156,BSc Mathematics,R Programming,,Statistician,BSc Mathematics,BSc,Mathematics
Person_157,BSc Statistics,Python,,Data Analyst,BSc Statistics,BSc,Statistics
Person_158,BSc Statistics,Probability,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_159,BTech ECE,MATLAB,CCNA,Electronics Engineer,BTech Ece,BTech,Ece
Person_160,BTech EE,Power Systems,Certified Electrician,Power Engineer,BTech Ee,BTech,Ee
Person_161,BTech EE,Control Systems,Certified Electrician,Control Engineer,BTech Ee,BTech,Ee
Person_162,BSc Mathematics,Data Analysis,Data Analyst Certification,Data Analyst,BSc Mathematics,BSc,Mathematics
Person_163,BCA,HTML,Google IT Support,Software Developer,Bca,Bca,
Person_164,BTech ECE,Embedded Systems,Embedded Systems Certification,Electronics Engineer,BTech Ece,BTech,Ece
Person_165,BTech Civil,STAAD Pro,Civil 3D Certification,Site Engineer,BTech Civil,BTech,Civil
Person_166,BCA,JavaScript,Full Stack Web Certification,Web Developer,Bca,Bca,
Person_167,BCA,HTML,Google IT Support,System Analyst,Bca,Bca,
Person_168,BTech Civil,STAAD Pro,Civil 3D Certification,Structural Engineer,BTech Civil,BTech,Civil
Person_169,BTech EE,Circuit Design,Certified Electrician,Control Engineer,BTech Ee,BTech,Ee
Person_170,BTech EE,,Power Systems Certification,Control Engineer,BTech Ee,BTech,Ee
Person_171,BTech EE,Circuit Design,,Power Engineer,BTech Ee,BTech,Ee
Person_172,BSc Chemistry,Spectroscopy,Lab Safety Certification,Chemist,BSc Chemistry,BSc,Chemistry
Person_173,BTech ECE,,,Electronics Engineer,BTech Ece,BTech,Ece
Person_174,BSc Statistics,Data Analysis,SAS Certification,Business Analyst,BSc Statistics,BSc,Statistics
Person_175,BTech CSE,Python,Oracle Java Certification,Backend Developer,BTech Cse,BTech,Cse
Person_176,BTech ECE,MATLAB,Embedded Systems Certification,VLSI Engineer,BTech Ece,BTech,Ece
Person_177,BSc Chemistry,Data Analysis,,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_178,BTech ECE,Embedded Systems,,Electronics Engineer,BTech Ece,BTech,Ece
Person_179,BTech EE,Control Systems,Power Systems Certification,Electrical Engineer,BTech Ee,BTech,Ee
Person_180,BTech EE,,Certified Electrician,Electrical Engineer,BTech Ee,BTech,Ee
Person_181,BTech ECE,MATLAB,CCNA,,BTech Ece,BTech,Ece
Person_182,BSc Chemistry,Spectroscopy,Lab Safety Certification,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_183,BTech Mechanical,Manufacturing,SolidWorks Certification,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_184,BSc Mathematics,Data Analysis,Data Analyst Certification,Data Analyst,BSc Mathematics,BSc,Mathematics
Person_185,BTech EE,Circuit Design,,Electrical Engineer,BTech Ee,BTech,Ee
Person_186,BSc Statistics,Probability,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_187,BCA,HTML,Full Stack Web Certification,Software Developer,Bca,Bca,
Person_188,BSc Statistics,Python,SAS Certification,Business Analyst,BSc Statistics,BSc,Statistics
Person_189,BTech CSE,SQL,AWS Certified Developer,Data Scientist,BTech Cse,BTech,Cse
Person_190,BSc Mathematics,Data Analysis,Actuarial Certification,Mathematician,BSc Mathematics,BSc,Mathematics
Person_191,BTech ECE,MATLAB,CCNA,VLSI Engineer,BTech Ece,BTech,Ece
Person_192,BSc Physics,MATLAB,Research Methodology,Lab Assistant,BSc Physics,BSc,Physics
Person_193,BTech CSE,SQL,Oracle Java Certification,Data Scientist,BTech Cse,BTech,Cse
Person_194,BSc Physics,Research,Data Science Certification,Lab Assistant,BSc Physics,BSc,Physics
Person_195,BSc Physics,Data Analysis,Research Methodology,Lab Assistant,BSc Physics,BSc,Physics
Person_196,BTech ECE,Embedded Systems,,Electronics Engineer,BTech Ece,BTech,Ece
Person_197,BSc Statistics,R,SAS Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_198,BSc Statistics,Python,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_199,BTech CSE,SQL,,Software Engineer,BTech Cse,BTech,Cse
Person_200,BTech Mechanical,ANSYS,,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_201,BSc Mathematics,Statistics,Actuarial Certification,Mathematician,BSc Mathematics,BSc,Mathematics
Person_202,BTech Mechanical,SolidWorks,SolidWorks Certification,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_203,BSc Mathematics,Problem Solving,Actuarial Certification,Mathematician,BSc Mathematics,BSc,Mathematics
Person_204,BTech Mechanical,Manufacturing,,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_205,BSc Chemistry,Lab Techniques,,Chemist,BSc Chemistry,BSc,Chemistry
Person_206,BTech CSE,Java,Oracle Java Certification,Data Scientist,BTech Cse,BTech,Cse
Person_207,BSc Physics,Data Analysis,Research Methodology,Research Scientist,BSc Physics,BSc,Physics
Person_208,BTech EE,Control Systems,Certified Electrician,Electrical Engineer,BTech Ee,BTech,Ee
Person_209,BTech Mechanical,Manufacturing,,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_210,BTech Civil,,Autodesk Certified Professional,Structural Engineer,BTech Civil,BTech,Civil
Person_211,BTech CSE,Machine Learning,Oracle Java Certification,Software Engineer,BTech Cse,BTech,Cse
Person_212,BTech Civil,Structural Analysis,Autodesk Certified Professional,Civil Engineer,BTech Civil,BTech,Civil
Person_213,BTech CSE,SQL,AWS Certified Developer,Software Engineer,BTech Cse,BTech,Cse
Person_214,BTech CSE,Machine Learning,Oracle Java Certification,Software Engineer,BTech Cse,BTech,Cse
Person_215,BTech Mechanical,Manufacturing,HVAC Design Certification,Mechanical Engineer,BTech Mechanical,BTech,Mechanical
Person_216,BSc Mathematics,R Programming,Data Analyst Certification,Data Analyst,BSc Mathematics,BSc,Mathematics
Person_217,BCA,HTML,Full Stack Web Certification,Web Developer,Bca,Bca,
Person_218,BSc Statistics,,,Statistician,BSc Statistics,BSc,Statistics
Person_219,BSc Mathematics,,Actuarial Certification,Data Analyst,BSc Mathematics,BSc,Mathematics
Person_220,BSc Mathematics,Statistics,Actuarial Certification,Mathematician,BSc Mathematics,BSc,Mathematics
Person_221,BSc Statistics,Python,SAS Certification,Business Analyst,BSc Statistics,BSc,Statistics
Person_222,BSc Physics,Research,Data Science Certification,Data Analyst,BSc Physics,BSc,Physics
Person_223,BTech EE,Power Systems,,Electrical Engineer,BTech Ee,BTech,Ee
Person_224,BSc Mathematics,Statistics,Actuarial Certification,Mathematician,BSc Mathematics,BSc,Mathematics
Person_225,BSc Chemistry,Research,,Research Scientist,BSc Chemistry,BSc,Chemistry
Person_226,BSc Physics,Data Analysis,Research Methodology,Research Scientist,BSc Physics,BSc,Physics
Person_227,BSc Statistics,R,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_228,BSc Physics,Research,,Lab Assistant,BSc Physics,BSc,Physics
Person_229,BTech EE,Control Systems,Power Systems Certification,Control Engineer,BTech Ee,BTech,Ee
Person_230,BTech Mechanical,ANSYS,HVAC Design Certification,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_231,BSc Physics,Data Analysis,Research Methodology,Research Scientist,BSc Physics,BSc,Physics
Person_232,BSc Statistics,Data Analysis,Data Analyst Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_233,BSc Mathematics,R Programming,Data Analyst Certification,Statistician,BSc Mathematics,BSc,Mathematics
Person_234,BCA,CSS,,System Analyst,Bca,Bca,
Person_235,BTech Civil,STAAD Pro,Civil 3D Certification,Structural Engineer,BTech Civil,BTech,Civil
Person_236,BSc Mathematics,Statistics,Data Analyst Certification,Statistician,BSc Mathematics,BSc,Mathematics
Person_237,BSc Physics,Data Analysis,Data Science Certification,Research Scientist,BSc Physics,BSc,Physics
Person_238,BSc Chemistry,Lab Techniques,Lab Safety Certification,Chemist,BSc Chemistry,BSc,Chemistry
Person_239,BSc Mathematics,Statistics,Data Analyst Certification,Statistician,BSc Mathematics,BSc,Mathematics
Person_240,BSc Physics,MATLAB,Data Science Certification,Research Scientist,BSc Physics,BSc,Physics
Person_241,BCA,CSS,Google IT Support,Software Developer,Bca,Bca,
Person_242,BTech EE,MATLAB,Certified Electrician,Control Engineer,BTech Ee,BTech,Ee
Person_243,BTech Mechanical,SolidWorks,,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_244,BSc Physics,Data Analysis,,Lab Assistant,BSc Physics,BSc,Physics
Person_245,BTech ECE,Embedded Systems,CCNA,Embedded Engineer,BTech Ece,BTech,Ece
Person_246,BTech Mechanical,SolidWorks,,Manufacturing Engineer,BTech Mechanical,BTech,Mechanical
Person_247,BCA,Python,Full Stack Web Certification,System Analyst,Bca,Bca,
Person_248,BSc Mathematics,Statistics,Data Analyst Certification,Mathematician,BSc Mathematics,BSc,Mathematics
Person_249,BSc Mathematics,Problem Solving,Actuarial Certification,Data Analyst,BSc Mathematics,BSc,Mathematics
Person_250,BSc Mathematics,Problem Solving,Data Analyst Certification,Mathematician,BSc Mathematics,BSc,Mathematics
Person_251,BTech EE,MATLAB,,Electrical Engineer,BTech Ee,BTech,Ee
Person_252,BTech EE,MATLAB,Power Systems Certification,Electrical Engineer,BTech Ee,BTech,Ee
Person_253,BTech EE,Power Systems,Certified Electrician,Power Engineer,BTech Ee,BTech,Ee
Person_254,BTech Mechanical,SolidWorks,HVAC Design Certification,Mechanical Engineer,BTech Mechanical,BTech,Mechanical
Person_255,BTech CSE,Machine Learning,,Data Scientist,BTech Cse,BTech,Cse
Person_256,BTech EE,Circuit Design,Power Systems Certification,Power Engineer,BTech Ee,BTech,Ee
Person_257,BSc Statistics,Python,,Business Analyst,BSc Statistics,BSc,Statistics
Person_258,BTech EE,Circuit Design,Certified Electrician,Electrical Engineer,BTech Ee,BTech,Ee
Person_259,BSc Chemistry,Spectroscopy,,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_260,BSc Mathematics,Problem Solving,,Data Analyst,BSc Mathematics,BSc,Mathematics
Person_261,BSc Statistics,Probability,Data Analyst Certification,Business Analyst,BSc Statistics,BSc,Statistics
Person_262,BTech ECE,Embedded Systems,Embedded Systems Certification,Electronics Engineer,BTech Ece,BTech,Ece
Person_263,BCA,CSS,Full Stack Web Certification,Web Developer,Bca,Bca,
Person_264,BTech EE,Circuit Design,,Electrical Engineer,BTech Ee,BTech,Ee
Person_265,BTech Civil,STAAD Pro,Autodesk Certified Professional,Civil Engineer,BTech Civil,BTech,Civil
Person_266,BSc Statistics,Python,,Statistician,BSc Statistics,BSc,Statistics
Person_267,BTech CSE,Machine Learning,AWS Certified Developer,Backend Developer,BTech Cse,BTech,Cse
Person_268,BSc Chemistry,Lab Techniques,Analytical Chemistry Certification,Research Scientist,BSc Chemistry,BSc,Chemistry
Person_269,BTech CSE,Java,AWS Certified Developer,Software Engineer,BTech Cse,BTech,Cse
Person_270,BTech Civil,STAAD Pro,Civil 3D Certification,Structural Engineer,BTech Civil,BTech,Civil
Person_271,BSc Physics,Research,Data Science Certification,Lab Assistant,BSc Physics,BSc,Physics
Person_272,BCA,HTML,Full Stack Web Certification,System Analyst,Bca,Bca,
Person_273,BTech ECE,Embedded Systems,,VLSI Engineer,BTech Ece,BTech,Ece
Person_274,BTech CSE,SQL,AWS Certified Developer,Software Engineer,BTech Cse,BTech,Cse
Person_275,BSc Physics,Data Analysis,,Lab Assistant,BSc Physics,BSc,Physics
Person_276,BTech EE,Power Systems,Power Systems Certification,Control Engineer,BTech Ee,BTech,Ee
Person_277,BTech Mechanical,Manufacturing,HVAC Design Certification,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_278,BTech Mechanical,ANSYS,HVAC Design Certification,Design Engineer,BTech Mechanical,BTech,Mechanical
Person_279,BTech EE,Control Systems,Power Systems Certification,Control Engineer,BTech Ee,BTech,Ee
Person_280,BTech ECE,,Embedded Systems Certification,Embedded Engineer,BTech Ece,BTech,Ece
Person_281,BSc Mathematics,Statistics,,Data Analyst,BSc Mathematics,BSc,Mathematics
Person_282,BSc Mathematics,Problem Solving,,Mathematician,BSc Mathematics,BSc,Mathematics
Person_283,BSc Statistics,Data Analysis,,Data Analyst,BSc Statistics,BSc,Statistics
Person_284,BSc Statistics,Probability,SAS Certification,Data Analyst,BSc Statistics,BSc,Statistics
Person_285,BSc Physics,Simulation,,Lab Assistant,BSc Physics,BSc,Physics
Person_286,BTech Civil,Structural Analysis,Civil 3D Certification,Site Engineer,BTech Civil,BTech,Civil
Person_287,BTech ECE,Embedded Systems,CCNA,Embedded Engineer,BTech Ece,BTech,Ece
Person_288,BTech Mechanical,Manufacturing,HVAC Design Certification,Mechanical Engineer,BTech Mechanical,BTech,Mechanical
Person_289,BTech ECE,MATLAB,CCNA,VLSI Engineer,BTech Ece,BTech,Ece
Person_290,BSc Chemistry,Lab Techniques,,Lab Analyst,BSc Chemistry,BSc,Chemistry
Person_291,BTech ECE,Embedded Systems,,Electronics Engineer,BTech Ece,BTech,Ece
